Metric,Value
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00153042
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0002069999999999999899975844375177302936208434402942657470703125
ir__drop__worst,0.00152999999999999989307164494078961070044897496700286865234375
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_differences__count,0
design__lvs_property_fails__count,0
design__lvs_errors__count,0
design__lvs_unmatched_devices__count,0
design__lvs_unmatched_nets__count,0
design__lvs_unmatched_pins__count,0
